date,Price,Open,High,Low,Vol.,Change %
1/1/2018,2823.81,"2,683.73",2872.87,"2,682.36",,5.62%
2/1/2018,2713.83,"2,816.45",2835.96,"2,532.69",,-3.89%
3/1/2018,2640.87,"2,715.22",2801.9,"2,585.89",,-2.69%
4/1/2018,2648.05,"2,633.45",2717.49,"2,553.80",,0.27%
5/1/2018,2705.27,"2,643.64",2742.24,"2,594.62",,2.16%
6/1/2018,2718.37,"2,718.70",2791.47,"2,691.99",,0.48%
7/1/2018,2816.29,"2,704.95",2848.03,"2,698.95",,3.60%
8/1/2018,2901.52,"2,821.17",2916.5,"2,796.34",,3.03%
9/1/2018,2913.98,"2,896.96",2940.91,"2,864.12",,0.43%
10/1/2018,2711.74,"2,926.29",2939.86,"2,603.54",,-6.94%
11/1/2018,2760.17,"2,717.58",2815.15,"2,631.09",,1.79%
12/1/2018,2506.85,"2,790.50",2800.18,"2,346.58",,-9.18%
1/1/2019,2704.1,"2,476.96",2708.95,"2,443.96",,7.87%
2/1/2019,2784.49,"2,702.32",2813.49,"2,681.83",,2.97%
3/1/2019,2834.4,"2,798.22",2860.31,"2,722.27",,1.79%
4/1/2019,2945.83,"2,848.63",2949.52,"2,848.63",,3.93%
5/1/2019,2752.06,"2,952.33",2954.13,"2,750.52",,-6.58%
6/1/2019,2941.76,"2,751.53",2964.15,"2,728.81",,6.89%
7/1/2019,2980.38,"2,971.41",3027.98,"2,952.22",,1.31%
8/1/2019,2926.46,"2,980.32",3013.59,"2,822.12",,-1.81%
9/1/2019,2976.74,"2,909.01",3021.99,"2,891.85",,1.72%
10/1/2019,3037.56,"2,983.69",3050.1,"2,855.94",,2.04%
11/1/2019,3140.98,"3,050.72",3154.26,"3,050.72",,3.40%
12/1/2019,3230.78,"3,143.85",3247.93,"3,070.33",,2.86%
1/1/2020,3225.52,"3,244.67",3337.77,"3,214.64",,-0.16%
2/1/2020,2954.22,"3,235.66",3393.52,"2,855.84",,-8.41%
3/1/2020,2584.59,"2,974.28",3136.72,"2,191.86",,-12.51%
4/1/2020,2912.43,"2,498.08",2954.86,"2,447.49",,12.68%
5/1/2020,3044.31,"2,869.09",3068.67,"2,766.64",,4.53%
6/1/2020,3100.29,"3,038.78",3233.13,"2,965.66",,1.84%
7/1/2020,3271.12,"3,105.92",3279.99,"3,101.17",,5.51%
8/1/2020,3500.31,"3,288.26",3514.77,"3,284.53",,7.01%
9/1/2020,3363,"3,507.44",3588.11,"3,209.45",,-3.92%
10/1/2020,3269.96,"3,385.87",3549.85,"3,233.94",,-2.77%
11/1/2020,3621.63,"3,296.20",3645.99,"3,279.74",,10.75%
12/1/2020,3756.07,"3,645.87",3760.2,"3,633.40",,3.71%
1/1/2021,3714.24,"3,764.61",3870.9,"3,662.71",,-1.11%
2/1/2021,3811.15,"3,731.17",3950.43,"3,725.62",,2.61%
3/1/2021,3972.89,"3,842.51",3994.41,"3,723.34",,4.24%
4/1/2021,4181.17,"3,992.78",4218.78,"3,992.78",,5.24%
5/1/2021,4204.11,"4,191.98",4238.04,"4,056.88",,0.55%
6/1/2021,4297.5,"4,216.52",4302.43,"4,164.40",,2.22%
7/1/2021,4395.26,"4,304.10",4430.2,"4,232.80",,2.27%
8/1/2021,4522.68,"4,415.90",4537.8,"4,369.20",,2.90%
9/1/2021,4307.54,"4,531.04",4544.58,"4,304.90",,-4.76%
10/1/2021,4605.38,"4,324.71",4608.7,"4,278.70",,6.91%
11/1/2021,4567,"4,616.47",4743.74,"4,560.26",,-0.83%
12/1/2021,4766.18,"4,623.80",4808.52,"4,494.20",,4.36%
1/1/2022,4515.55,"4,781.00",4817.88,"4,221.54",,-5.26%
2/1/2022,4373.79,"4,521.35",4595.1,"4,114.50",,-3.14%
3/1/2022,4530.41,"4,358.08",4637.9,"4,157.20",,3.58%
4/1/2022,4131.93,"4,547.90",4593.9,"4,123.87",,-8.80%
5/1/2022,4132.15,"4,132.70",4307.9,"3,810.50",,0.01%
6/1/2022,3785.38,"4,156.10",4177.6,"3,636.82",,-8.39%
7/1/2022,4130.29,"3,779.27",4140,"3,720.25",,9.11%
8/1/2022,3955,"4,103.38",4325.5,"3,954.90",,-4.24%
9/1/2022,3585.62,"3,929.90",4119.69,"3,585.40",,-9.34%
10/1/2022,3871.98,"3,624.07",3906.05,"3,490.00",,7.99%
11/1/2022,4080.11,"3,911.50",4080.11,"3,695.60",,5.38%
12/1/2022,3839.5,"4,089.50",4103.05,"3,764.14",,-5.90%
1/1/2023,4076.6,"3,858.38",4094.32,"3,793.67",,6.18%
2/1/2023,3970.15,"4,063.85",4195.34,"3,942.86",,-2.61%
3/1/2023,4109.31,"3,958.20",4110.8,"3,810.54",,3.51%
4/1/2023,4169.48,"4,102.50",4170.52,"4,049.30",,1.46%
5/1/2023,4137.64,"4,166.27",4187.2,"4,048.00",,-0.76%
